Project Name,Unit Number,ROOMS DESCRIPTION,Size,Type ,Location
29 BLVD T1,1904,1 B/R,799 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,1905,1 B/R,838 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,2004,1 B/R,799 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,2005,1 B/R,838 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,2101,1 B/R,836 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,3506,1 B/R,802 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,3601,1 B/R,1056 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,3602,1 B/R,1087 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,3603,1 B/R,770 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,4001,1 B/R,1056 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,4002,1 B/R,1087 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,4003,1 B/R,770 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,4006,1 B/R,802 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,4101,1 B/R,1056 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,4102,1 B/R,1087 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,4103,1 B/R,770 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,4106,1 B/R,802 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,4201,1 B/R,1056 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,4202,1 B/R,1087 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,4203,1 B/R,770 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,4206,1 B/R,802 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,3606,1 B/R,802 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,3701,1 B/R,1056 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,3702,1 B/R,1087 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,3703,1 B/R,770 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,901,1 B/R,836 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,902,1 B/R,793 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,904,1 B/R,799 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,905,1 B/R,838 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,1001,1 B/R,836 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,1002,1 B/R,793 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,1004,1 B/R,799 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,1005,1 B/R,838 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,1101,1 B/R,836 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,302,1 B/R,1671 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,402,1 B/R,848 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,404,1 B/R,838 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,501,1 B/R,781 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,502,1 B/R,848 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,1402,1 B/R,793 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,1404,1 B/R,799 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,1405,1 B/R,838 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,1501,1 B/R,836 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,1502,1 B/R,793 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,1504,1 B/R,799 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,1505,1 B/R,838 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,1601,1 B/R,836 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,1602,1 B/R,793 Sq.Ft,Apartments,Downtown Dubai
